Age,Wing,Weight,Culmen,Hallux,Tail
1,198,190,12.2,15.8,158
1,190,200,12.7,15,157
1,197,185,12.8,15.6,157
0,370,1000,26.9,31.4,201
1,200,185,12.8,15.2,158
0,360,1325,26.2,30.6,224
0,366,945,25.3,27.2,199
0,402,1350,28.7,31,219
1,366,805,23.5,25.7,217
1,380,1525,26,27.6,224
1,190,175,12.7,15.4,150
1,360,790,21.9,27.6,211
1,369,860,25.2,28,207
0,199,1290,28.7,32.1,222
